Strain,Company,Types,Categories,SubCategory,THCLevel,THCUnit,Price,Feelings,FlavorProfile,Terpenes,Description,HardwareType,UnitWeight,PackSize,PreRollConfig,DietaryTags,TimeOfDay,ActivityScenario,IsLiveResin,IsLiveRosin,IsInfused,IsVegan,IsOrganic,ProductTags,OtherCannabinoids,OtherCannabinoidLevels,ExperienceLevel,ConsumptionMethod,OnsetTime,Duration,PriceRange
Bubble Hash,Hepworth,Hybrid,Concentrates,Bubble Hash,33,%,18.0,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","Hepworth Bubble Hash is a premium solventless concentrate made through ice water extraction, which separates trichomes from the plant using cold water and agitation. At 33% THC, this 1g Hybrid hash delivers a rich, earthy and herbal experience with notes of pepper and citrus — reflecting its Myrcene, Caryophyllene, and Limonene terpene profile. Best enjoyed by dabbing or crumbling into a bowl. Fast-acting and potent, Bubble Hash is recommended for experienced consumers seeking deep relaxation paired with focused, uplifting energy.",,1g,,,,Daytime,"Creative,Focus,Relaxation",False,False,False,False,False,,,,Experienced,Smoke/Dab,Immediate (0–5 min),2–4 hrs,Budget
THCa Diamond Powder | 0.5g,Silly Nice,Hybrid,Concentrates,Diamond,84,%,44.0,"Happy,Relaxed,Sleepy,Calm,Focused","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","Unlock a new dimension of potency with Silly Nice Diamond Powder. This isn't just another concentrate; it's a revolution in purity and strength, crafted for those who demand the best. Manufactured by Veterans Holdings in Gloversville, NY, Diamond Powder takes the throne as the pinnacle of THCa crystals, setting new industry standards.**THCa Explained**THCa stands for Tetrahydrocannabinolic acid - the non-psychoactive hero in raw cannabis. Unlike its famous cousin THC, THCa doesn't get you high until it's heated. When you blaze or bake it, THCa transforms into THC, offering you potency like never before. It's the core of what makes Silly Nice Diamond Powder a game-changer for enthusiasts seeking a pure, intense experience.**Potency & Purity**With a stunning 96.03% THCa and total THC hitting the 84.48% mark, Diamond Powder is a titan of potency. It's all about the raw power of cannabis, stripped down to its most potent form. Silly Nice ensures what you get is all killer, no filler ? just unmatched clarity and strength in every granule.**How to Elevate Your Game**- **Joints, Bowls, Bongs:** Spark up your flower game by sprinkling Diamond Powder into your smoke. It's an instant upgrade, transforming ordinary sessions into extraordinary escapes.- **Dabbing & Vaporizing:** Dive deep into flavor and effects with a dab rig or vape. Diamond Powder delivers a clean, intense hit that's all about the pure THCa experience.- **Edibles & Topicals:** Get creative in the kitchen or with your self-care routine. Heating turns THCa into THC, infusing edibles with unmatched potency, while topical application explores THCa's therapeutic side.**Quality Without Compromise**Every batch from Veterans Holdings meets rigorous testing standards, ensuring that Silly Nice Diamond Powder is not only potent but also pure and safe. It's a commitment to excellence that you can see, smell, and feel.Silly Nice isn't just a brand; it's a statement. With Diamond Powder, we invite you to go beyond the ordinary and explore the extraordinary possibilities of cannabis. Whether you're rolling it, dabbing it, or infusing it, prepare for an experience that redefines the limits of potency and purity.**Dare to Discover**Silly Nice Diamond Powder is more than a product. It's a journey to the essence of what cannabis can be. Made for those who aren't afraid to push boundaries and explore the heights of what cannabis concentrates can offer. Welcome to the future of cannabis with Silly Ni",,0.5g,,,,Anytime,Focus,False,False,False,False,False,,THCA,96.03% THCA,Experienced,Dab,Immediate (0–5 min),2–4 hrs,Mid
Frosted Hash Ball | 1g,Silly Nice,Hybrid,Concentrates,Hash Ball,50,%,50.0,"Relaxed,Sleepy,Calm,Focused,Happy","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","Overview: The Frosted Hash Ball is the pinnacle of innovation from Silly Nice, brought to you by Jason Ambrosino, the industry maverick behind Veteran Holdings. Utilizing expertise honed at the forefront of cannabis processing and manufacturing, this concentrate is derived from select 45-160 micron bubble hash, made using fresh frozen material from Full Spectrum Ag. Each hash ball is hand coated in THCA isolate, resulting in a oogle worthy frosted appearance. This unique process enhances the potency, allowing for a deep and immersive experience, sometimes allowing the resin to fully absorb the powder for an unmatched potency profile.Potency:Total Cannabinoids: 55.63% (556.3 mg/g)Total THC: 49.62% (496.2 mg/g)Total CBD: 0.07585% (0.7585 mg/g)Terpene Profile and Effects: The Frosted Hash Ball boasts an intricate terpene profile, carefully curated to offer a symphony of effects and flavors:Beta-caryophyllene (0.8854%): A spicy, peppery essence that contributes to stress relief and anxiety reduction.Limonene (0.7012%): A burst of citrus to elevate mood and alleviate stress.Ocimene (0.3683%): Sweet, herbaceous undertones for an uplifting effect.Terpinolene (0.2777%): A harmonious blend of pine, floral, and citrus, promoting relaxation and sleep.Together, these terpenes craft a rich, balanced effect that is simultaneously relaxing and euphoric, with a flavor profile that skillfully balances spicy, citrus, and earthy tones.Quality Assurance: Rigorously tested for potency and terpene content, the Frosted Hash Ball meets the highest standards of quality and safety. Our commitment to excellence ensures each batch is free from microbial contamination, heavy metals, and residual solvents, offering you a pure and potent product.Usage Instructions: Due to its high potency, the Frosted Hash Ball is recommended for those with experience in cannabis concentrates. It can be enjoyed in small quantities either by itself or complementing flower in a bowl, joint, or vaporizer. Start with a small amount to gauge its potent effects.",,1g,,,,Nighttime,"Sleep,Creative,Relaxation",False,False,False,False,False,,"THCA, CBD",,Experienced,Smoke/Dab,Immediate (0–5 min),2–4 hrs,Mid
Grapefruit | 1:1 | Single,ayrloom,Hybrid,Beverages,Beverage,20,mg,3.5,"Calm,Happy,Relaxed,Energetic","citrus,earthy,herbal,sweet","Limonene,Myrcene,Valencene","Classic Grapefruit flavor, but make it pink! The perfectly balanced combination of sweet and tart, it?ll leave you (and your taste buds) uber refreshed. Fast Acting, Gluten Free, Vegan.",,,,,"vegan,gluten-free",Nighttime,Relaxation,False,False,False,True,False,vegan,,,Intermediate,Drink,15–45 min,2–4 hrs,Budget
Pineapple Mango | 1:1 | Single,ayrloom,Hybrid,Beverages,Beverage,20,mg,3.5,"Calm,Happy,Relaxed,Energetic","citrus,earthy,herbal,sweet","Limonene,Myrcene,Valencene","Classic Grapefruit flavor, but make it pink! The perfectly balanced combination of sweet and tart, it?ll leave you (and your taste buds) uber refreshed. Fast Acting, Gluten Free, Vegan.",,,,,"vegan,gluten-free",Nighttime,Relaxation,False,False,False,True,False,vegan,,,Intermediate,Drink,15–45 min,2–4 hrs,Budget
Black Cherry | UP | Single,ayrloom,Hybrid,Beverages,Beverage,20,mg,5.0,"Relaxed,Happy,Calm,Energetic","citrus,pepper,spicy,earthy,herbal","Limonene,Caryophyllene,Myrcene","Electrifyingly crisp and slightly tart. Unexpectedly smooth and never too sweet, it packs a flavor punch with every sip! Fast Acting Gluten Free, Vegan",,,,,"vegan,gluten-free",Nighttime,Relaxation,False,False,False,True,False,vegan,,,Intermediate,Drink,15–45 min,2–4 hrs,Budget
Lemonade | UP | Single,ayrloom,Hybrid,Beverages,Beverage,20,mg,5.0,"Calm,Happy,Relaxed,Energetic","citrus,earthy,herbal,pepper,spicy","Limonene,Myrcene,Caryophyllene","INGREDIENTS FILTERED WATER, SUGAR, LEMON JUICE CONCENTRATE, NATURAL FLAVORS, CANNABIS EXTRACT, POTASSIUM SORBATE (PRESERVATIVE), ASCORBIC ACID.",,,,,,Nighttime,Relaxation,False,False,False,False,False,,,,Intermediate,Drink,15–45 min,2–4 hrs,Budget
Honeycrisp | UP | Single,ayrloom,Hybrid,Beverages,Beverage,10,mg,5.0,"Energetic,Happy,Calm,Relaxed","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","As each day shortens, the signs of fall settle in. Green leaves shift to crimson and gold, evenings get brisk, and apples plump on their tree branches.",,,,,,Nighttime,Relaxation,False,False,False,False,False,,,,Intermediate,Drink,15–45 min,2–4 hrs,Budget
Half & Half | UP | 2:1 | Single | 10mg,ayrloom,Hybrid,Beverages,Beverage,10,mg,4.5,"Happy,Uplifted,Energetic,Relaxed,Sleepy","citrus,earthy,herbal,pepper,spicy","Limonene,Myrcene,Caryophyllene","A hole in one that would make arnie proud. half lemonade, half tea, this delightfully refreshing beverage is steeped in rich tradition.",,,,,,Anytime,Relaxation,False,False,False,False,False,,CBC,,Intermediate,Drink,15–45 min,2–4 hrs,Budget
Spiced Apple UP | 2:1,ayrloom,Hybrid,Edibles,Gummy,10,mg,30.0,"Calm,Happy,Relaxed,Energetic","apple,cinnamon,spice,warm","Limonene,Myrcene,Caryophyllene","Spiced Apple UP by ayrloom is a 100mg THC hybrid gummy with a warm, cozy apple and cinnamon flavor. Formulated in a 2:1 THC:CBC ratio, it delivers a calm, happy, and relaxing effect. Ideal for evening unwinding. Start with half a gummy and wait at least 1 hour before consuming more.",,,10.0,,,Nighttime,Relaxation,False,False,False,False,False,,CBC,,Intermediate,Eat,30–90 min,3–4 hrs,Mid
